source_path,source_file,content_path,content_size,is_dir,note,detected_ts_tokens
/mnt/data/ASAM_Abstracted_Integration_Pack.zip,ASAM_Abstracted_Integration_Pack.zip,IP Breadcrumb – ASAM-Integrated Documentation Logic – Narrative.txt,6803.0,False,,
/mnt/data/ASAM_Abstracted_Integration_Pack.zip,ASAM_Abstracted_Integration_Pack.zip,IP Breadcrumb – ASAM-Integrated Documentation Logic – Narrative.docx,39494.0,False,,
/mnt/data/ASAM_Abstracted_Integration_Pack.zip,ASAM_Abstracted_Integration_Pack.zip,Specification Threshold Algorithm (STA) – Pseudocode and Data Spec.txt,5875.0,False,,
/mnt/data/ASAM_Abstracted_Integration_Pack.zip,ASAM_Abstracted_Integration_Pack.zip,Specification Threshold Algorithm (STA) – Pseudocode and Data Spec.docx,39412.0,False,,
/mnt/data/ASAM_Abstracted_Integration_Pack.zip,ASAM_Abstracted_Integration_Pack.zip,Project Plan – STM-CTC-DRI Integration into VSC.txt,2638.0,False,,
/mnt/data/ASAM_Abstracted_Integration_Pack.zip,ASAM_Abstracted_Integration_Pack.zip,Project Plan – STM-CTC-DRI Integration into VSC.docx,38073.0,False,,
/mnt/data/Care_Tier_Attach_Patch.zip,Care_Tier_Attach_Patch.zip,sta.js,4843.0,False,,
/mnt/data/Care_Tier_Attach_Patch.zip,Care_Tier_Attach_Patch.zip,csvLoader.js,727.0,False,,
/mnt/data/Care_Tier_Attach_Patch.zip,Care_Tier_Attach_Patch.zip,pdfExport.js,269.0,False,,
/mnt/data/Care_Tier_Attach_Patch.zip,Care_Tier_Attach_Patch.zip,care_tier_panel.html,1404.0,False,,
/mnt/data/Care_Tier_Attach_Patch.zip,Care_Tier_Attach_Patch.zip,care_tier_attach.js,3926.0,False,,
/mnt/data/Care_Tier_Attach_Patch.zip,Care_Tier_Attach_Patch.zip,README_INTEGRATION.md,2244.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/Appendix - Trade Secret DVD Submission (1).pdf,736008.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/ITS_010-033_Trade_Secret_Folder.zip,190568.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/Panopta-Flex PDF.zip,1473425.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/4th Patent Trade Secret Supplimentals .zip,2977346.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/Tier 8 Existential Logic Trade Secret Manifest.pdf,1387.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/Tier 8 TS Cross Tier Logic .pdf,29619.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/TS01 Cross Tier Logic WITH FIGURE.pdf,84458.0,False,,TS01
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/T8-001 - Existential Commitment Engine.pdf,27284.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/T8-002 - Boundary Reconstruction Logic Tree.pdf,29712.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/T8-003 - Non-Medication Compliance Pattern Disruptor.pdf,24891.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/T8-004 - Stabilization-to-Meaning Bridge Module.pdf,27233.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/Archive.zip,852266.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/TS_DVD_Classification_Supplement.zip,868897.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/TS_Manifest_Tiers_6_to_9.docx,37404.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,All_Trade_Secrets_Archive/TS6–TS9_Manifest_and_Copyright_Companion (3).docx,37747.0,False,,TS6
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/Appendix XXX – Glossary of Proprietary Terminology.docx,37823.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/Master_Upload_Manifest.docx,38256.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/TS_Manifest_Tiers_6_to_9.docx,37404.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/TS6–TS9_Manifest_and_Copyright_Companion (3).docx,37747.0,False,,TS6
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/Assignment Amendment – Trust and LLC Authority – David Manning copy.docx,4879.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/Section 7- Buckyball Group Simulation Pathways Abstract.pdf,32213.0,False,,Buckyball
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/Section 6 Claims Patent 5.pdf,38862.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/Specifacation 1-5 5th Patent PDF.pdf,56578.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/FIG 1 5th Patent.pdf,31658.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/P4-Empathy Alliance Replication.pdf,970225.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Collection/P4-Empathy Alliance Replication.docx,37727.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,USPTO Final CD Archive - 63793005/Appendices/AppendixAExhibitManifest.pdf,1923.0,False,,
/mnt/data/Confirmed_Trade_Secrets_Bundle.zip,Confirmed_Trade_Secrets_Bundle.zip,USPTO Final CD Archive - 63793005/Appendices/AppendixBCustomizationCaveat.pdf,1789.0,False,,
